platform,orderType,title,image,images,amount,commission,totalProfit
amazon,single,"CozyMe Stroller Footmuff for Toddler, Stroller Blanket Evelution, Winter Baby Universal Stroller Bunting Bag, Warm Bunting Bag, Bottom Opens for Multi-Use,6-36M",https://i.postimg.cc/vmF7zzQv/6212988013113969678.jpg,,60.77,2.4308,302.4308
amazon,single,Ekouaer Family Christmas Pajamas Matching Sets Long Sleeve Holiday Pjs Sleepwear 2 Piece Lounge Sets S-XXL,https://i.postimg.cc/xdDGRR0L/6212988013113969679.jpg,,101.2,4.048,306.4788
amazon,single,"Samsung Galaxy Tab A9+ Plus 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable, Kids Friendly Design, US Version, 2024, Silver",https://i.postimg.cc/LsKkTTHL/6212988013113969680.jpg,,198.23,7.9292,314.408
amazon,single,"4 Tier Storage Bins with Lids, 23QT Stackable Closet Organizers and Storage with Wheels, Collapsible Storage Boxes, Foldable Plastic Storage Containers for Home,Office, Dorm Room-White",https://i.postimg.cc/1zh0HH96/6212988013113969681.jpg,,107.07,4.2828,318.6908
amazon,single,"TRX GO Suspension Trainer, At Home, Portable Gym Workout, For Strength Training, Full Body Exercise Equipment",https://i.postimg.cc/d0PRBBqR/6212988013113969682.jpg,,149.49,5.7316,324.4224
amazon,single,"WOLFBOX MF50 Compressed Air Duster-110000RPM Super Power Electric Air Duster, 3-Gear Adjustable Mini Blower with Fast Charging, Dust Blower for Computer, Keyboard, House, Outdoor and Car",https://i.postimg.cc/mgFNCqGw/6212988013113969683.jpg,,78.76,3.1504,327.5728
alibaba,single,"CUKBLESS Red Wine Glasses Set of 4, 20 oz Iridescent Hand Blown Wine Glasses, Long Stem Glasses for Red or White Wine, for Birthday, Wedding",https://i.postimg.cc/QdjQFqqC/6212988013113969684.jpg,,86.07,3.4428,502.05816
alibaba,single,REORIA Womens Sexy Halter Backless Double Lined Tank Top Y2k Trendy Camisole Crop Tops,https://i.postimg.cc/jdH6q1yN/6212988013113969685.jpg,,117.22,9.3776,511.43576
alibaba,single,The Dreidel Company Hanukkah Menorah Enamel Hand-Painted Enameled Metal,https://i.postimg.cc/MK70ZL1Q/6212988013113969686.jpg,,91.86,7.3488,518.78456
alibaba,single,"FUN ELEMENTS Lace Emboss Casserole Dish with Lid, 2 Quart Oven to Table Ceramic Round Serving Dish with Handles for Dinner and Party, Thanksgiving Christmas Gifts Grayish Blue",https://i.postimg.cc/pXfQVSKn/6212988013113969687.jpg,,134.71,10.7768,529.56136
alibaba,single,"LEGO Icons Leonardo da Vinci's Flying Machine DIY Kit - Ornithopter Building Set for Adults, Ages 18+ - Craft for Home or Office Decor with Display Stand - Gift Idea - 10363",https://i.postimg.cc/CLGCM2bB/6212988013113969688.jpg,,90.56,7.2448,536.80616
alibaba,single,"Laura Mercier Petal Soft Lipstick Crayon, 24HR Lip Softening Hydration, 12HR Sheer Matte Lip Color, Comfortable Weightless Wear, Diffused, Blurred Effect, Limited Edition Set",https://i.postimg.cc/DyrQfN1S/6212988013113969689.jpg,,126.04,10.0832,546.88936
alibaba,single,"Away Softside Large Checked Suitcase, 29 Inch Lightweight, Expandable Luggage For Men & Women, Durable Nylon Exterior, TSA Approved Lock, Ideal For Trips 2+ Weeks, Cloud Gray",https://i.postimg.cc/28Qdjtnq/6212988013113969690.jpg,,119.17,9.5336,556.42296
alibaba,single,NAADAM Womens The Original Cashmere Crewneck Sweater,https://i.postimg.cc/hPL84YVf/6212988013113969691.jpg,,99.58,7.9664,564.38936
alibaba,single,JW PEI Women's Sophie Cropped Leather Jacket,https://i.postimg.cc/dt2RQfG3/6212988013113969692.jpg,,136.15,10.892,575.28136
alibaba,single,"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",https://i.postimg.cc/VLq9shXk/6212988013113969693.jpg,,132.63,10.6104,585.89176
